,timestamp,client_id,produit_id,price,quantity,revenue
2316,2022-10-08 20:13:07,2972,213,12,11,132
7784,2022-08-22 10:39:29,2410,6,18,4,72
4549,2022-11-11 19:48:00,2640,63,17,2,34
2692,2022-07-13 19:59:42,770,73,12,6,72
2148,2022-11-19 20:43:25,317,126,12,3,36
5622,2022-09-26 16:26:21,857,166,16,4,64
8156,2022-10-16 22:55:27,3569,50,17,4,68
4252,2022-11-11 20:33:41,386,24,17,2,34
3673,2022-10-06 23:07:02,2958,103,12,1,12
7006,2022-08-31 15:08:29,2929,215,17,3,51
6397,2022-10-25 21:25:02,3930,57,12,6,72
7350,2022-09-24 07:33:45,61,243,12,1,12
2379,2022-12-29 15:26:01,2177,240,14,10,140
6094,2022-07-23 11:58:53,2313,107,12,2,24
9869,2022-12-25 14:20:15,946,66,15,1,15
7189,2022-12-15 20:54:44,3686,196,17,4,68
8410,2022-08-15 07:54:03,746,68,12,1,12
5585,2022-12-31 19:00:18,1266,220,12,2,24
2734,2022-08-01 23:09:03,276,82,17,1,17
1613,2022-11-04 14:24:06,2251,13,12,3,36
9619,2022-12-11 11:33:04,1560,122,12,8,96
264,2022-11-22 21:56:01,1576,71,18,1,18
7021,2022-10-30 20:57:08,2512,53,12,2,24
5252,2022-11-04 23:33:20,1387,103,12,4,48
498,2022-10-21 23:37:24,3632,225,12,1,12
2752,2022-11-11 14:53:37,3061,221,12,1,12
4467,2022-11-07 22:54:05,757,75,16,6,96
5016,2022-10-29 12:14:16,753,21,18,2,36
9375,2022-11-28 20:29:03,1534,77,17,5,85
125,2022-08-16 23:08:58,758,32,12,10,120
2249,2022-12-14 23:47:30,1100,53,12,4,48
3706,2022-07-22 19:32:29,3453,161,15,4,60
8580,2022-09-07 23:20:50,216,114,18,5,90
7942,2022-11-15 21:08:33,161,11,12,2,24
8263,2022-11-09 20:58:49,1391,35,12,2,24
8588,2022-09-21 18:53:12,711,136,18,2,36
9191,2022-10-20 14:02:24,2473,229,17,5,85
8761,2022-10-14 03:55:12,367,91,17,2,34
1598,2022-12-08 23:18:29,3068,144,12,6,72
3676,2022-10-17 19:27:30,3072,142,16,5,80
6113,2022-07-05 21:50:56,2302,33,17,8,136
7324,2022-08-20 22:39:26,314,40,15,3,45
1292,2022-11-17 23:27:46,1166,184,12,1,12
4295,2022-10-06 16:34:37,3418,136,18,1,18
8701,2022-09-24 22:14:33,358,23,18,2,36
2220,2022-08-09 08:20:29,2823,64,14,7,98
8401,2022-12-28 22:05:31,3253,219,18,2,36
3424,2022-12-13 19:17:17,2091,9,17,3,51
5575,2022-09-20 23:02:23,2708,17,12,2,24
7602,2022-08-12 20:23:03,1878,152,12,2,24
4436,2022-08-02 23:51:39,1053,7,17,2,34
3568,2022-07-17 19:39:43,272,217,12,2,24
8718,2022-10-04 23:20:09,1916,191,15,9,135
8522,2022-08-30 22:22:00,3207,1,18,1,18
9496,2022-11-17 07:45:56,1738,54,17,3,51
4341,2022-12-25 11:16:56,2712,142,16,9,144
9641,2022-11-15 23:46:09,304,105,12,2,24
2132,2022-09-07 09:58:24,987,63,17,10,170
678,2022-07-16 23:43:32,1633,55,12,6,72
1935,2022-12-13 21:20:17,2344,43,12,3,36
9241,2022-09-14 09:49:31,3562,214,12,9,108
7294,2022-12-16 20:01:15,3909,59,17,2,34
5115,2022-12-18 20:27:19,2243,202,12,2,24
5502,2022-07-22 21:33:19,1211,233,18,1,18
7617,2022-10-29 22:41:50,3708,95,18,4,72
6517,2022-07-05 20:50:04,1996,86,12,4,48
7644,2022-12-01 19:04:04,1914,182,17,4,68
1399,2022-12-11 20:18:03,2225,28,17,8,136
3531,2022-09-08 08:34:17,744,214,12,2,24
3039,2022-07-16 20:47:48,2174,35,12,3,36
5940,2022-07-17 10:15:10,3436,125,15,4,60
2267,2022-10-07 19:56:51,768,148,18,3,54
3051,2022-11-21 21:53:32,943,180,15,7,105
4487,2022-10-05 19:44:29,2790,4,12,2,24
3492,2022-07-20 20:37:07,1724,46,17,5,85
7082,2022-07-30 21:26:13,3138,141,12,4,48
1019,2022-07-02 20:44:14,3218,101,12,4,48
3553,2022-12-22 23:41:42,1868,31,18,4,72
5224,2022-07-06 21:16:52,433,159,12,4,48
393,2022-10-01 19:31:01,1717,161,15,7,105
1164,2022-09-10 20:30:53,1704,164,14,3,42
9827,2022-12-13 10:38:03,3075,177,14,11,154
6538,2022-09-27 21:46:23,3070,172,17,5,85
4686,2022-12-26 22:39:23,1982,75,16,2,32
3861,2022-09-21 12:37:18,1001,105,12,5,60
1892,2022-09-19 20:53:06,2052,243,12,2,24
1268,2022-07-15 23:06:30,2599,44,15,3,45
5348,2022-10-08 08:05:00,1889,157,15,4,60
9723,2022-09-28 17:10:05,1212,210,18,1,18
6107,2022-09-22 18:39:05,2603,130,12,1,12
1050,2022-08-12 19:48:17,2565,211,12,2,24
7881,2022-11-15 22:44:12,3154,94,12,3,36
6402,2022-12-13 05:47:14,1337,27,12,7,84
7254,2022-09-22 23:40:31,3922,50,17,2,34
7450,2022-07-30 16:34:17,2837,87,18,2,36
5067,2022-10-11 07:14:52,113,107,12,3,36
5638,2022-08-27 03:38:33,1531,88,15,8,120
7695,2022-09-28 03:25:11,1689,248,16,3,48
90,2022-11-09 21:05:33,665,239,18,9,162
5261,2022-09-27 23:47:39,886,199,17,3,51
601,2022-09-11 20:46:36,2227,167,15,5,75
9345,2022-11-12 02:02:12,3224,5,12,2,24
1686,2022-09-07 07:01:33,1333,89,12,2,24
9157,2022-07-23 23:48:10,1342,248,16,4,64
4002,2022-07-05 18:01:42,2903,206,16,7,112
6514,2022-07-14 21:31:53,257,199,17,2,34
1827,2022-07-28 19:11:07,2562,31,18,1,18
1667,2022-08-01 06:47:07,112,146,16,2,32
1637,2022-08-06 22:14:04,3295,22,12,4,48
2246,2022-08-27 22:48:37,1465,225,12,2,24
5046,2022-10-11 20:18:40,2462,80,18,2,36
7083,2022-12-05 22:40:27,922,115,14,2,28
7390,2022-07-24 20:20:00,374,100,18,6,108
6147,2022-07-07 22:26:46,1933,15,14,6,84
7900,2022-07-08 23:58:53,3831,249,18,7,126
7260,2022-09-28 03:35:19,600,215,17,1,17
5692,2022-09-11 21:58:43,701,45,16,4,64
1978,2022-10-20 23:39:06,963,1,18,1,18
9123,2022-12-29 21:40:01,41,14,18,6,108
9278,2022-11-13 20:26:09,2351,19,12,3,36
3295,2022-09-01 07:03:46,815,102,14,8,112
1730,2022-08-21 17:40:07,1722,13,12,2,24
9056,2022-09-21 23:38:02,290,40,15,3,45
5195,2022-11-14 22:24:47,490,130,12,1,12
9797,2022-07-16 17:31:58,2915,231,17,4,68
3137,2022-08-26 22:46:50,2198,145,17,6,102
3857,2022-12-16 19:22:55,1614,155,12,5,60
1880,2022-10-08 23:23:31,1096,28,17,1,17
1612,2022-12-25 07:21:23,3564,20,12,2,24
1815,2022-12-28 08:58:34,3716,234,18,5,90
3647,2022-12-18 09:44:12,3751,244,12,10,120
4488,2022-12-18 20:08:24,3830,88,15,2,30
2550,2022-08-16 20:11:16,2856,178,14,2,28
3378,2022-11-20 23:16:38,2649,48,12,9,108
8871,2022-08-25 22:32:46,1119,177,14,1,14
89,2022-07-24 22:54:23,981,118,12,4,48
1488,2022-08-11 04:54:02,1387,124,18,9,162
9203,2022-10-01 20:48:49,3354,21,18,7,126
7070,2022-09-15 07:39:15,433,10,18,12,216
3063,2022-08-29 07:16:09,1819,224,12,1,12
4290,2022-07-18 23:01:01,2152,64,14,6,84
2011,2022-07-05 00:37:42,3455,225,12,1,12
526,2022-12-30 19:08:53,2154,201,12,1,12
7044,2022-10-23 17:26:53,924,84,17,2,34
4609,2022-12-18 20:38:57,340,101,12,3,36
4069,2022-09-03 23:23:14,1412,170,12,6,72
6601,2022-07-01 17:20:05,3926,197,12,2,24
715,2022-11-14 23:58:24,3208,23,18,7,126
3414,2022-07-25 19:49:08,1392,198,12,2,24
2745,2022-07-02 20:14:31,2191,49,12,4,48
8070,2022-11-23 15:04:51,1700,140,17,1,17
6782,2022-07-03 20:26:20,36,113,18,5,90
7280,2022-12-11 21:03:27,1934,76,15,2,30
3460,2022-12-25 23:14:19,3729,242,12,8,96
204,2022-07-26 17:24:34,3325,120,16,2,32
8984,2022-10-07 21:08:46,2627,186,18,7,126
4641,2022-12-14 09:42:18,1945,222,18,3,54
8322,2022-10-13 22:12:36,3024,134,17,2,34
3396,2022-09-26 22:00:38,1608,177,14,3,42
1716,2022-09-24 16:32:01,1313,144,12,5,60
1115,2022-08-07 20:27:04,3728,142,16,7,112
9746,2022-07-19 07:15:24,1009,250,17,5,85
1201,2022-10-06 23:35:27,1932,128,12,2,24
7776,2022-07-19 18:26:21,2443,61,18,5,90
4073,2022-08-21 23:46:05,2283,31,18,7,126
4329,2022-09-24 21:02:57,912,149,17,2,34
1199,2022-11-02 19:37:10,1351,90,17,1,17
5480,2022-07-03 22:49:18,1036,176,15,2,30
8295,2022-09-24 19:05:10,2331,166,16,5,80
7731,2022-07-25 11:48:45,1232,155,12,2,24
6801,2022-07-23 23:30:23,1203,78,17,5,85
7753,2022-10-09 21:52:43,3824,214,12,7,84
2091,2022-11-20 16:16:38,3180,3,18,9,162
2488,2022-08-02 20:05:41,3086,122,12,4,48
4784,2022-12-12 03:55:11,3017,78,17,6,102
2526,2022-09-17 22:21:07,2168,65,16,4,64
1333,2022-11-25 10:42:02,2577,221,12,4,48
9066,2022-07-27 10:43:48,579,58,15,6,90
1492,2022-12-01 23:25:01,2505,13,12,1,12
3827,2022-07-13 21:28:24,2269,244,12,3,36
1690,2022-08-21 03:55:22,3305,178,14,3,42
100,2022-12-05 20:11:44,2637,203,12,2,24
900,2022-07-12 06:16:01,1333,27,12,2,24
3960,2022-07-07 22:11:23,1636,33,17,1,17
527,2022-10-06 22:53:36,3006,137,12,1,12
1999,2022-12-13 22:03:22,1194,132,15,8,120
8145,2022-09-03 17:45:20,638,173,18,3,54
2653,2022-08-11 11:05:02,2405,103,12,3,36
7959,2022-11-03 19:05:15,2083,3,18,6,108
8923,2022-12-08 22:33:37,1166,89,12,6,72
2765,2022-07-23 21:24:11,357,110,17,10,170
1748,2022-12-24 12:02:41,130,198,12,9,108
384,2022-10-27 16:21:53,805,184,12,4,48
6590,2022-08-13 06:02:16,2486,38,15,4,60
6121,2022-09-24 20:10:28,3611,204,14,1,14
2523,2022-08-25 21:16:39,2928,68,12,9,108
9652,2022-09-30 15:47:00,386,49,12,3,36
689,2022-10-22 20:03:42,2633,225,12,3,36
8977,2022-09-01 20:56:21,3342,13,12,2,24
5456,2022-12-03 19:14:53,2460,3,18,1,18
1549,2022-08-01 23:18:22,2302,249,18,5,90
8385,2022-07-01 23:20:13,1181,10,18,3,54
9159,2022-10-22 23:21:15,3317,49,12,8,96
1752,2022-12-09 21:25:04,975,232,12,3,36
6879,2022-12-05 07:35:19,1725,85,18,8,144
7278,2022-09-19 18:33:29,3707,37,18,3,54
822,2022-07-15 20:50:02,2960,23,18,7,126
1680,2022-09-03 14:36:56,154,175,12,1,12
1530,2022-09-25 08:39:44,2281,214,12,7,84
1289,2022-07-17 19:33:11,3740,5,12,6,72
7153,2022-07-25 23:53:04,2692,221,12,2,24
2289,2022-10-29 23:28:47,3119,206,16,5,80
8454,2022-07-11 23:43:01,3212,248,16,5,80
9425,2022-09-27 20:44:44,1092,85,18,2,36
4042,2022-12-21 08:18:42,3215,131,18,4,72
7024,2022-11-22 21:44:24,3940,89,12,6,72
8218,2022-10-18 17:50:43,3855,240,14,3,42
2071,2022-07-03 21:29:31,2400,135,12,3,36
5960,2022-08-10 22:02:22,1219,118,12,1,12
1950,2022-09-07 04:16:28,1342,226,12,6,72
9348,2022-11-26 23:16:07,1524,142,16,7,112
367,2022-11-04 16:10:29,1830,151,12,5,60
3458,2022-08-07 23:35:07,586,201,12,3,36
814,2022-11-15 18:50:11,1223,120,16,3,48
1219,2022-07-09 19:49:10,665,27,12,1,12
2160,2022-11-04 08:53:28,2360,214,12,2,24
3629,2022-12-06 21:42:41,2071,202,12,4,48
6143,2022-12-29 21:02:46,2412,199,17,3,51
5822,2022-08-21 21:12:01,1524,90,17,1,17
2083,2022-11-27 21:38:53,2630,26,14,2,28
6093,2022-10-24 15:19:25,3852,131,18,2,36
980,2022-07-20 19:32:54,3568,153,18,2,36
6434,2022-09-19 10:36:07,509,214,12,3,36
2297,2022-11-21 02:18:33,2719,29,18,1,18
309,2022-12-10 19:07:24,2479,232,12,1,12
5538,2022-10-28 13:48:30,2658,146,16,3,48
8694,2022-10-01 22:03:24,3931,183,16,1,16
1083,2022-08-08 22:40:51,2100,67,12,2,24
5892,2022-12-01 16:10:06,2154,243,12,2,24
9804,2022-08-13 19:43:02,658,50,17,3,51
5099,2022-10-19 20:40:20,812,46,17,2,34
2903,2022-09-23 22:15:16,3455,227,12,2,24
1645,2022-07-10 21:52:36,3769,28,17,11,187
2279,2022-07-21 01:23:23,960,224,12,1,12
2656,2022-10-06 23:06:09,1720,157,15,9,135
